"","cuid","model","rcp","period","exp_weighted","exp_simple"
"132",304,"HadGEM2-ES","rcp45","late",0.254343008981139,0.269466206805539
"133",304,"HadGEM2-ES","rcp85","hist",0.136039189070659,0.11717831007093
"134",304,"HadGEM2-ES","rcp85","early",0.185597008928934,0.184942739293267
"135",304,"HadGEM2-ES","rcp85","mid",0.244602266252686,0.259423968311226
"136",304,"HadGEM2-ES","rcp85","late",0.375023500250976,0.390377266516042
"137",304,"MPI-ESM-LR","rcp45","hist",0.138914629984822,0.122117788877663
"138",304,"MPI-ESM-LR","rcp45","early",0.163080410480006,0.156145595921941
"139",304,"MPI-ESM-LR","rcp45","mid",0.189384321015804,0.176046989752514
"140",304,"MPI-ESM-LR","rcp45","late",0.190563816025848,0.18181909285028
"141",304,"MPI-ESM-LR","rcp85","hist",0.138861681729667,0.121904133450567
"142",304,"MPI-ESM-LR","rcp85","early",0.167200307140413,0.151903368057181
"143",304,"MPI-ESM-LR","rcp85","mid",0.217757641158159,0.208164269249773
"144",304,"MPI-ESM-LR","rcp85","late",0.277766085888882,0.268404688884197
"145",305,"ACCESS1-0","rcp45","hist",0.175367309458219,0.199852628346807
"146",305,"ACCESS1-0","rcp45","early",0.223073538414447,0.283813924500513
"147",305,"ACCESS1-0","rcp45","mid",0.279147535965718,0.350368801378535
"148",305,"ACCESS1-0","rcp45","late",0.358338724526255,0.434185586562022
"149",305,"ACCESS1-0","rcp85","hist",0.17551652892562,0.200147956420193
"150",305,"ACCESS1-0","rcp85","early",0.23459595959596,0.300914337089373
"151",305,"ACCESS1-0","rcp85","mid",0.33135585654525,0.397380322144379
"152",305,"ACCESS1-0","rcp85","late",0.481808708217701,0.583787473502006
"153",305,"CanESM2","rcp45","hist",0.141561447811448,0.173672153723231
"154",305,"CanESM2","rcp45","early",0.201789358228752,0.26193427704678
"155",305,"CanESM2","rcp45","mid",0.261412738496072,0.310193090755481
"156",305,"CanESM2","rcp45","late",0.321099354211451,0.359395024953105
"157",305,"CanESM2","rcp85","hist",0.141886669727579,0.174417590379027
"158",305,"CanESM2","rcp85","early",0.207387001326395,0.263146673675016
"159",305,"CanESM2","rcp85","mid",0.306408784817876,0.344846073701138
"160",305,"CanESM2","rcp85","late",0.492485165741343,0.517690050749439
"161",305,"CCSM4","rcp45","hist",0.178448946536068,0.192238137468148
"162",305,"CCSM4","rcp45","early",0.255962401795735,0.274486389023983
"163",305,"CCSM4","rcp45","mid",0.29455221405979,0.309366710492618
