"","cuid","stage","model","rcp","period","p_j","n_j"
"344",303,"fw_rearing","ACCESS1-0","rcp85","late",0.181120943952802,113
"345",303,"fw_rearing","CanESM2","rcp45","hist",0.0154867256637168,113
"346",303,"fw_rearing","CanESM2","rcp45","early",0.0591445427728614,113
"347",303,"fw_rearing","CanESM2","rcp45","mid",0.0672566371681416,113
"348",303,"fw_rearing","CanESM2","rcp45","late",0.0952802359882006,113
"349",303,"fw_rearing","CanESM2","rcp85","hist",0.0150442477876106,113
"350",303,"fw_rearing","CanESM2","rcp85","early",0.0707964601769911,113
"351",303,"fw_rearing","CanESM2","rcp85","mid",0.0986725663716814,113
"352",303,"fw_rearing","CanESM2","rcp85","late",0.146902654867257,113
"353",303,"fw_rearing","CCSM4","rcp45","hist",0.0303834808259587,113
"354",303,"fw_rearing","CCSM4","rcp45","early",0.0281710914454277,113
"355",303,"fw_rearing","CCSM4","rcp45","mid",0.0744837758112094,113
"356",303,"fw_rearing","CCSM4","rcp45","late",0.0945427728613569,113
"357",303,"fw_rearing","CCSM4","rcp85","hist",0.0309734513274336,113
"358",303,"fw_rearing","CCSM4","rcp85","early",0.0554572271386431,113
"359",303,"fw_rearing","CCSM4","rcp85","mid",0.107079646017699,113
"360",303,"fw_rearing","CCSM4","rcp85","late",0.139970501474926,113
"361",303,"fw_rearing","CNRM-CM5","rcp45","hist",0.0331858407079646,113
"362",303,"fw_rearing","CNRM-CM5","rcp45","early",0.0650442477876106,113
"363",303,"fw_rearing","CNRM-CM5","rcp45","mid",0.100737463126844,113
"364",303,"fw_rearing","CNRM-CM5","rcp45","late",0.101917404129794,113
"365",303,"fw_rearing","CNRM-CM5","rcp85","hist",0.0331858407079646,113
"366",303,"fw_rearing","CNRM-CM5","rcp85","early",0.0817109144542773,113
"367",303,"fw_rearing","CNRM-CM5","rcp85","mid",0.107374631268437,113
"368",303,"fw_rearing","CNRM-CM5","rcp85","late",0.178171091445428,113
"369",303,"fw_rearing","HadGEM2-ES","rcp45","hist",0.0210914454277286,113
"370",303,"fw_rearing","HadGEM2-ES","rcp45","early",0.0480825958702065,113
"371",303,"fw_rearing","HadGEM2-ES","rcp45","mid",0.0706489675516224,113
"372",303,"fw_rearing","HadGEM2-ES","rcp45","late",0.107669616519174,113
"373",303,"fw_rearing","HadGEM2-ES","rcp85","hist",0.0210914454277286,113
"374",303,"fw_rearing","HadGEM2-ES","rcp85","early",0.0575221238938053,113
"375",303,"fw_rearing","HadGEM2-ES","rcp85","mid",0.114749262536873,113
"376",303,"fw_rearing","HadGEM2-ES","rcp85","late",0.191297935103245,113
"377",303,"fw_rearing","MPI-ESM-LR","rcp45","hist",0.0169616519174041,113
"378",303,"fw_rearing","MPI-ESM-LR","rcp45","early",0.046165191740413,113
"379",303,"fw_rearing","MPI-ESM-LR","rcp45","mid",0.0622418879056047,113
"380",303,"fw_rearing","MPI-ESM-LR","rcp45","late",0.0904129793510324,113
