"species","region","culabel","faz","fm_start","fm_peak","fm_end","n_fm","fm_dat_qual","oe_start","oe_peak","oe_end","n_oe","oe_dat_qual","rt_start","rt_peak","rt_end","n_rt","rt_dat_qual","sp_start","sp_peak","sp_end","n_sp","dat_qual","arrival","n_arrival","fm_source_faz","oe_source_faz","oe_age","inc_start","inc_end","rear_start","rear_end","mig_start","mig_end"
"CK","fraser","Middle Fraser River (Summer 5-2)","MFR",104.857142857143,129.428571428571,150.285714285714,23,1,121.666666666667,144.333333333333,179.666666666667,10,1,170,203,228,8,3,247.025402227302,261.261908667389,275.498379556815,355,1,232.478723283166,214,NA,"MFR","1+",247.025402227302,150.285714285714,1,365,170,275.498379556815
"CK","fraser","North Thompson River (Spring 5-2)","NTh",93,113.875,141.875,3,4,103,128,150,0,6,174,192,216,4,3,223.391991243169,238.262480704072,253.133068335232,96,1,217.06850250555,60,NA,"LTh","1+",223.391991243169,141.875,1,365,174,253.133068335232
"CK","fraser","North Thompson River (Summer 5-2)","NTh",119.5,134.25,157,5,2,119.5,128,150,0,6,153,201,224,10,3,246.598466472434,261.096061293346,275.593736967035,241,1,228.911897573961,159,NA,"LTh","1+",246.598466472434,157,1,365,153,275.593736967035
"CK","fraser","Shuswap River (Summer 4-1)","STh",94,118,139,0,6,116,125,139,2,4,173,204,222,4,3,253.324406110386,277.143176192383,300.961961617864,67,1,202.826224522476,36,NA,"STh","0+",253.324406110386,139,94,139,173,300.961961617864
"CK","fraser","South Thompson-Adams River Upper","STh",93,118,140,1,4,122,136,153,0,6,235,256,290,0,6,249.957112111206,263.332433076796,276.707846586189,7,5,237.97299354435,4,NA,"STh","1+",249.957112111206,140,1,365,235,276.707846586189
"CK","fraser","South Thompson River-Bessette Creek (Summer 4-2)","STh",94,118,139,0,6,122,136,153,0,6,176,208,223,2,3,252.148746190115,267.736147768606,283.323407377296,47,1,236.580112328152,30,NA,"STh","1+",252.148746190115,139,1,365,176,283.323407377296
"CK","fraser","South Thompson River (Summer 4-1)","STh",94,118,139,0,6,128.5,147.5,167,2,4,214,228,254,2,3,260.241051976502,280.244802422001,300.248605064868,171,1,239.214504739885,95,NA,"STh","0+",260.241051976502,139,94,167,214,300.248605064868
"CK","fraser","South Thompson River (Summer 5-2)","STh",94.3333333333333,118.333333333333,138,3,4,122,136,153,0,6,144,172,216,4,3,242.192309432087,262.880216958978,283.567944031151,103,1,203.277188456238,64,NA,"STh","1+",242.192309432087,138,1,365,144,283.567944031151
"CK","fraser","Upper Fraser River (Spring 5-2)","UFR",112.25,134.25,159.875,12,2,130.285714285714,149.428571428571,165,9,2,147,170,197,14,3,224.044135510391,236.53699188914,249.029850163684,717,1,212.910453580328,473,NA,"UFR","1+",224.044135510391,159.875,1,365,147,249.029850163684
"CK","haida gwaii","East Haida Gwaii","HG",81,100,128,0,6,83,108,156,0,6,NA,NA,NA,NA,NA,224.028480345222,239.215690512269,254.403016020086,8,1,274.299058394332,5,"NC","NC","1+",224.028480345222,128,1,365,NA,254.403016020086
